,DDX11,KMO,LINC00229,DBF4,SSSCA1,DBR1,CYP7A1,CYBA,PGLS,CTNNA2,DYNLT1,CYP4F35P,EGFLAM-AS4,CXADRP2,PDE9A,SPOP,LINC00336,DEFB115,CYP27C1,SSU72,PDXDC1,DRD2,EAPP,CTSLP2,PHPT1,SPIN4,LINC00424,STRN4,PDZK1,PDCL3,STX2,SUN1,PCYT1A,PDHX,EFCAB7,SPNS2,PHF3,DGCR9,PEX13,SRMS,CYP27A1,PDF,DET1,CYB561A3,ST3GAL6-AS1,PLD4,LIMK1,PLEKHG4B,LINC00499,EBF3,DSG1,DAAM2,PDIA6,PHOX2A,PCSK5,STT3B,SSFA2,PFDN2,ECSIT,KRTAP19-8,DDX5,DDO,LHFPL3,PET117,LILRB1,DBT,STMND1,LIMS1,PDPK1,KRT83,DCTN6,STAM,CTRB1,KREMEN1,STARD8,PLEK,LINC00456,CTTN,PHKG1,DUSP1,STAU1,PLCH1,DAD1,PHACTR4,DTYMK,DUSP16,SPIRE1,STT3A,PLK5,STAU2-AS1,EFHC1,DCST1,ST6GALNAC4,SRSF9,DYNC1I2,DAGLA,SUMO4,KRTAP29-1,DYNC1LI2,DYSF,STRIP2,PEX26,LGALS14,SNORD98,PFKL,DDX11L2,SNORD38A,DZIP1L,LINC00297,CXorf40B,STK31,DEF6,DYNAP,SSSCA1-AS1,SUGP1,PDCD6,CYP2U1,PHF20,PHF5A,SUCO,DCDC2C,PGM5-AS1,DCHS1,PGM3,PLCG2,ST20,STK11IP,SS18L2,PMS2P3,LINC00161,LINC00483,KRCC1,LINC00477,SNORD54,LINC00521,CWC15,DAPL1,DDI2,PDCD2,LINC00200,DHX34,PDAP1,SNORD91B,PGAM5,PHF1,EDAR,ST6GAL1,DRGX,CTSA,PGA4,PLVAP,DCTN1-AS1,CYTH4,CTRL,DAGLB,LINC00626,PLSCR1,SPTSSA,SNORD115-4,DFNB59,LINC00350,LINC00493,SNORD103A,DUXA,EHBP1L1,CTSL,DSC2,LINC00616,SRI,CXorf21,EAF1,SRRM4,DGCR5,LINC00116,PDE7A,SUMO3,STT3A-AS1,STX11,LINC00638,SUPT4H1,ST3GAL2,PGM1,CUTA,EFNA1,CUTC,DCTN1,DDX11-AS1,STXBP1,PNKD,PLD3,LINC00358,SPDYE8P,SUCLG2,PGA5,LINC00515,LINC00659,LINC00299,SULT4A1,LINC00305,PCSK4
MB-0068,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
MB-0079,0,0,0,0,0,0,2,-1,0,2,-1,-1,0,0,2,-1,0,0,0,0,0,-1,-1,0,0,2,0,0,-1,0,0,0,0,0,0,-1,-1,2,1,0,0,-1,1,1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,2,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,2,-1,-1,2,0,0,0,0,0,-1,1,1,0,0,-1,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,2,-1,1,0,2,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,1,0,1,0,-1,0,0,0,-1,2,0,0,0,0,-1,0,-1,0,0,0,0,0,0,2,0,2,2,-1,-1,-1,-1,-1,0,0,0,-1,1,0,2,0,0,0,0,-1,1,2,0,0,0,0,0
MB-0081,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
MB-0083,0,0,0,0,2,0,0,-1,0,0,-1,0,0,0,0,0,0,2,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-1,0,1,0,0,0,0,1,1,0,0,-1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MB-0093,-1,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,-1,0,0,2,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0
MB-0095,0,1,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,-1,0,0,-2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MB-0097,1,2,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,1,0,-1,2,1,0,0,-1,-1,0,0,2,0,1,0,-1,0,-1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,2,-1,0,1,0,0,0,0,-1,0,0,2,1,0,0,1,0,-1,-1,0,0,0,0,0,2,0,-1,0,1,0,0,-1,0,0,2,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,2,-1,-1,0,0,1,0,0,0,0,0,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,2,0,0,2,0,0,0,-1,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,1,-1,0,2,-1,-1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,-1
MB-0100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MB-0108,-1,1,0,0,0,0,0,0,0,0,-1,0,0,-2,-1,2,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,2,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,1,-1,0,0,0,-1,0,-2,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,2,0,-1,0,-1,1,0,0,-1,0,0,-1,-1,-1,0,0,0,-1,2,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0
MB-0113,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
MB-0120,-1,2,0,-1,-1,-1,2,-1,0,-1,1,0,1,-1,0,2,0,0,-1,-1,1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,1,0,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,2,1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,2,0,0,-1,0,-1,-1,1,2,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,2,0,-1,-1,0,1,0,0,0,0,-1,-1,-1,1,-1,-1,-1,0,-1,0,2,-1,0,2,-1,-1,-1,-1,1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-1,2,0,-1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,0
MB-0124,0,2,-1,1,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,2,-1,1,-1,0,0,0,0,2,0,0,1,0,1,0,0,-1,-1,0,0,0,-1,0,-1,0,1,1,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,2,1,0,0,0,1,0,0,0,0,-1,0,1,0,2,0,0,0,-1,-1,0,-1,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,2,0,0,1,-1,-1,0,0,0,1,0,0,0,0,1,1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,2,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0,-1,0,0,2,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0
MB-0134,0,2,0,0,0,0,0,0,-1,0,0,-1,2,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,2,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,2,0,1,0,0,0,0,-1,0,0,2,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,2,0,-1,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,2,0,-1,-1,2,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,2,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,2,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1
MB-0138,0,1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
MB-0139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB-0148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
